iterations,train_losses,test_losses
0,4.576974391937256,4.573760509490967
100,2.3773012161254883,2.3733510971069336
200,1.942955732345581,1.9494867324829104
300,1.7250170707702637,1.7352056503295898
400,1.597071647644043,1.6189515590667725
500,1.511008620262146,1.5379387140274048
600,1.4501091241836548,1.4813097715377808
700,1.4057766199111938,1.443002223968506
800,1.3648428916931152,1.4059579372406006
900,1.332685112953186,1.382979154586792
999,1.306760549545288,1.3624778985977173
1000,1.308727145195007,1.360872507095337
1100,1.2835290431976318,1.3461477756500244
1200,1.264930248260498,1.334273338317871
1300,1.2462356090545654,1.3224310874938965
1400,1.2309166193008425,1.312899470329285
1500,1.2193078994750977,1.3034658432006836
1600,1.204598903656006,1.298577904701233
1700,1.193171501159668,1.2909306287765503
1800,1.1881293058395386,1.2829419374465942
1900,1.167272925376892,1.2777047157287598
1999,1.1579279899597168,1.2649801969528198
2000,1.1606544256210327,1.2734225988388062
2100,1.1504689455032349,1.2663226127624512
2200,1.1411494016647339,1.2652260065078735
2300,1.1344916820526123,1.2606096267700195
2400,1.1267809867858887,1.2562181949615479
2500,1.1143884658813477,1.2565938234329224
2600,1.1041982173919678,1.2485359907150269
2700,1.100376009941101,1.2450462579727173
2800,1.091707468032837,1.246158242225647
2900,1.082854151725769,1.241737723350525
2999,1.0774341821670532,1.2438567876815796
