iterations,train_losses,test_losses
0,10.465518951416016,10.46510124206543
100,2.674000024795532,2.6591384410858154
200,2.521970272064209,2.5478603839874268
300,2.293071985244751,2.296437263488769
400,2.165703535079956,2.1759896278381348
500,2.0872743129730225,2.1049630641937256
600,2.036689281463623,2.073909282684326
700,2.063079357147217,1.993959188461304
800,1.945209503173828,1.9163578748703003
900,1.916849493980408,1.9130380153656008
999,1.89125657081604,1.8540318012237549
1000,1.836584448814392,1.8391542434692383
1100,1.7994593381881714,1.8116298913955688
1200,1.7963142395019531,1.8237098455429077
1300,1.773392915725708,1.7682616710662842
1400,1.7759177684783936,1.77463960647583
1500,1.7394599914550781,1.7284539937973022
1600,1.733855128288269,1.7561607360839844
1700,1.7015480995178223,1.694799780845642
1800,1.654816746711731,1.6655887365341187
1900,1.7107075452804565,1.6646205186843872
1999,1.7180595397949219,1.7410156726837158
